"text,type,deck,level,intensity,is_indian_specific,is_solo"
"('What’s a quirky superstition you follow just in case?', 'truth', 'strangers', 'icebreaker', 'moderate', false, false),"
"('Share a work blunder that turned into a funny story.', 'truth', 'strangers', 'icebreaker', 'moderate', false, false),"
"('Tell us about the most epic bargain you scored in a market.', 'truth', 'strangers', 'icebreaker', 'moderate', false, false),"
"('What’s the most ridiculous rumor you’ve ever heard?', 'truth', 'strangers', 'icebreaker', 'moderate', false, false),"
"('If you could crash a Bollywood star’s party, who’d it be?', 'truth', 'strangers', 'icebreaker', 'moderate', true, false),"
"('Reveal a weird food combo you secretly love.', 'truth', 'strangers', 'icebreaker', 'moderate', false, false),"
"('Describe the wildest monsoon memory you’ve got.', 'truth', 'strangers', 'icebreaker', 'moderate', true, false),"
"('What’s the funniest thing you’ve overheard?', 'truth', 'strangers', 'icebreaker', 'moderate', false, false),"
"('Share a quirky tradition from your family you adore.', 'truth', 'strangers', 'icebreaker', 'moderate', false, false),"
"('Tell us about a work prank you pulled or saw.', 'truth', 'strangers', 'icebreaker', 'moderate', false, false),"
"('What’s a regional rivalry you find hilariously petty?', 'truth', 'strangers', 'icebreaker', 'moderate', true, false),"
"('If you ran a street food stall, what’d you sell and why?', 'truth', 'strangers', 'icebreaker', 'moderate', false, false),"
"('What''s the weirdest compliment you’ve ever gotten out of the blue?', 'truth', 'strangers', 'icebreaker', 'moderate', false, false),"
"('Describe the most chaotic family dinner you’ve been to.', 'truth', 'strangers', 'icebreaker', 'moderate', false, false),"
"('What’s the best skill ever learned on the job?', 'truth', 'strangers', 'icebreaker', 'moderate', false, false),"
"('Tell us about a regional dance you tried that made you laugh.', 'truth', 'strangers', 'icebreaker', 'moderate', true, false),"
"('Tell us about the most absurd thing you’ve done for a bet.', 'truth', 'strangers', 'icebreaker', 'moderate', false, false),"
"('What’s the funniest thing a kid has said to you?', 'truth', 'strangers', 'icebreaker', 'moderate', false, false),"
"('Describe the most intense festival you’ve attended or heard of.', 'truth', 'strangers', 'icebreaker', 'moderate', true, false),"
"('What’s the most unexpected thing you’ve learned from a coworker?', 'truth', 'strangers', 'icebreaker', 'moderate', false, false),"
"('Share a funny mix-up from switching between your regional language and English.', 'truth', 'strangers', 'icebreaker', 'moderate', true, false),"
"('Tell us about the most chaotic moment at a family wedding.', 'truth', 'strangers', 'icebreaker', 'moderate', false, false),"
"('What’s a quirky career tip you got that actually worked?', 'truth', 'strangers', 'icebreaker', 'moderate', false, false),"
"('Reveal the most surprising place you’ve bumped into a friend.', 'truth', 'strangers', 'icebreaker', 'moderate', false, false),"
"('Describe a street food binge that went hilariously overboard.', 'truth', 'strangers', 'icebreaker', 'moderate', false, false),"
"('What’s the most absurd thing you’ve done to impress a teacher?', 'truth', 'strangers', 'icebreaker', 'moderate', false, false),"
"('Share a regional festival tradition you find totally over-the-top.', 'truth', 'strangers', 'icebreaker', 'moderate', true, false),"
"('Tell us about a story about the worst colleague you ever worked with.', 'truth', 'strangers', 'icebreaker', 'moderate', false, false),"
"('What’s a Bollywood quote you’ve used in real-life?', 'truth', 'strangers', 'icebreaker', 'moderate', true, false),"
"('What''s the weirdest food you’ve tried?', 'truth', 'strangers', 'icebreaker', 'moderate', false, false),"
"('What''s your fondest monsoon memory?', 'truth', 'strangers', 'icebreaker', 'moderate', true, false),"
"('What’s the best dhaba you''ve ever been to?', 'truth', 'strangers', 'icebreaker', 'moderate', true, false),"
"('Share a quirky family rule or tradition you secretly love.', 'truth', 'strangers', 'icebreaker', 'moderate', false, false),"
"('Tell us about a time you used your regional language to confuse someone.', 'truth', 'strangers', 'icebreaker', 'moderate', true, false),"
"('What’s the most random gift you’ve ever given?', 'truth', 'strangers', 'icebreaker', 'moderate', false, false),"
"('Describe a regional dish you’d want everyone to try.', 'truth', 'strangers', 'icebreaker', 'moderate', true, false),"
"('What''s a school skill you picked up that surprised you?', 'truth', 'strangers', 'icebreaker', 'moderate', false, false),"
"('What’s the most hilarious thing you’ve seen at a local fair?', 'truth', 'strangers', 'icebreaker', 'moderate', false, false),"
"('Share a story about a family member’s epic cooking fail.', 'truth', 'strangers', 'icebreaker', 'moderate', false, false),"
"('Tell us about the most chaotic group project you’ve worked on.', 'truth', 'strangers', 'icebreaker', 'moderate', false, false),"
"('What''s the funniest family matchmaking story you’ve heard?', 'truth', 'strangers', 'icebreaker', 'moderate', false, false),"
"('Describe your most memorable bus ride.', 'truth', 'strangers', 'icebreaker', 'moderate', false, false),"
"('Reveal the funniest misunderstanding you’ve had with a friend.', 'truth', 'strangers', 'icebreaker', 'moderate', false, false),"
"('Spill the chai: what’s the juiciest family gossip you''ve heard?', 'truth', 'strangers', 'icebreaker', 'bold', true, false),"
"('What’s the cheesiest pickup line you’ve heard?', 'truth', 'strangers', 'icebreaker', 'bold', false, false),"
"('What''s the cheekiest thing you’ve said to a nosy family member?', 'truth', 'strangers', 'icebreaker', 'bold', false, false),"
"('Describe the wildest thing you’ve seen someone do for a viral reel.', 'truth', 'strangers', 'icebreaker', 'bold', false, false),"
"('What’s the most cringe-worthy moment you’ve had to live through?', 'truth', 'strangers', 'icebreaker', 'bold', false, false),"
"('Share the boldest excuse you’ve used to skip a boring meeting.', 'truth', 'strangers', 'icebreaker', 'bold', false, false),"
"('Tell us about the most awkward dancer you’ve seen.', 'truth', 'strangers', 'icebreaker', 'bold', false, false),"
"('What’s the most outrageous meme you’ve sent in a group chat?', 'truth', 'strangers', 'icebreaker', 'bold', false, false),"
"('What''s the weirdest thing you''ve been dared to do?', 'truth', 'strangers', 'icebreaker', 'bold', false, false),"
"('Describe a time you laughed so hard you couldn’t stop.', 'truth', 'strangers', 'icebreaker', 'bold', false, false),"
"('What’s the longest delay you''ve experienced on a train?', 'truth', 'strangers', 'icebreaker', 'bold', true, false),"
"('Share a favorite saying in your mother tongue.', 'truth', 'strangers', 'icebreaker', 'bold', true, false),"
"('Tell us about the most absurd thing you’ve seen at a college fest.', 'truth', 'strangers', 'icebreaker', 'bold', true, false),"
"('What’s the boldest thing you’ve said to a teacher?', 'truth', 'strangers', 'icebreaker', 'bold', false, false),"
"('Tell us about a time you mixed up languages and it got hilarious.', 'truth', 'strangers', 'icebreaker', 'bold', true, false),"
"('Describe the wildest outfit you’ve seen at a wedding.', 'truth', 'strangers', 'icebreaker', 'bold', false, false),"
"('What''s the biggest mess-up you’ve had at a family event?', 'truth', 'strangers', 'icebreaker', 'bold', false, false),"
"('Share a sassy retort you gave during a family debate.', 'truth', 'strangers', 'icebreaker', 'bold', false, false),"
"('Tell us about a time you tried to impress someone and totally flopped.', 'truth', 'strangers', 'icebreaker', 'bold', false, false),"
"('What’s the most embarrassing thing you’ve done at a work event?', 'truth', 'strangers', 'icebreaker', 'bold', false, false),"
"('Reveal the funniest rumor you’ve heard about a coworker.', 'truth', 'strangers', 'icebreaker', 'bold', false, false),"
"('Describe a moment you got caught sneaking food at a family gathering.', 'truth', 'strangers', 'icebreaker', 'bold', false, false),"
"('What’s the most over-the-top thing you’ve seen at an event?', 'truth', 'strangers', 'icebreaker', 'bold', false, false),"
"('Tell us about a Bollywood song that helped you through a rough patch.', 'truth', 'strangers', 'icebreaker', 'bold', true, false),"
"('Tell us about the most chaotic thing you’ve seen in a WhatsApp group.', 'truth', 'strangers', 'icebreaker', 'bold', true, false),"
"('What''s a family moment that always makes you smile?', 'truth', 'friends', 'getting_to_know_you', 'mild', false, false),"
"('Spill the beans: what''s a productivity hack you learned from a family member?', 'truth', 'friends', 'getting_to_know_you', 'mild', false, false),"
"('Tell us something unqiue about your hometown.', 'truth', 'friends', 'getting_to_know_you', 'mild', true, false),"
"('What''s a hobby you’d love to geek out over with this group?', 'truth', 'friends', 'getting_to_know_you', 'mild', false, false),"
"('Describe a childhood adventure that shaped your vibe.', 'truth', 'friends', 'getting_to_know_you', 'mild', false, false),"
"('Dish on a movie or book that blew your mind open.', 'truth', 'friends', 'getting_to_know_you', 'mild', false, false),"
"('What''s a kind gesture that’s stuck with you forever?', 'truth', 'friends', 'getting_to_know_you', 'mild', false, false),"
"('Name a home improvement project you’re thinking of.', 'truth', 'friends', 'getting_to_know_you', 'mild', false, false),"
"('Share a festival tradition from your region that feels like pure magic.', 'truth', 'friends', 'getting_to_know_you', 'mild', true, false),"
"('What''s a spot you retreat to when you need peace?', 'truth', 'friends', 'getting_to_know_you', 'mild', false, false),"
"('Tell us about a dish you cook that’s a total crowd-pleaser.', 'truth', 'friends', 'getting_to_know_you', 'mild', false, false),"
"('What''s a time you and a friend just got each other?', 'truth', 'friends', 'getting_to_know_you', 'mild', false, false),"
"('Spill the tea: what''s a value your neighborhood taught you?', 'truth', 'friends', 'getting_to_know_you', 'mild', false, false),"
"('Describe a song that’s your instant mood-lifter.', 'truth', 'friends', 'getting_to_know_you', 'mild', false, false),"
"('What''s a quirky habit you’re proud to own?', 'truth', 'friends', 'getting_to_know_you', 'mild', false, false),"
"('Share a story about your favorite mentor from work.', 'truth', 'friends', 'getting_to_know_you', 'mild', false, false),"
"('Tell us about a time you helped out a random stranger.', 'truth', 'friends', 'getting_to_know_you', 'mild', false, false),"
"('What''s an ingredient or condiment that you think all food should contain?', 'truth', 'friends', 'getting_to_know_you', 'mild', false, false),"
"('Tell us about your friends from childhood.', 'truth', 'friends', 'getting_to_know_you', 'mild', false, false),"
"('What does your dream life after retirement look like?', 'truth', 'friends', 'getting_to_know_you', 'mild', false, false),"
"('Describe a moment you felt on top of the world.', 'truth', 'friends', 'getting_to_know_you', 'mild', false, false),"
"('Tell us about a regional song that means a lot to you.', 'truth', 'bffs', 'deeper_dive', 'mild', true, false),"
"('What''s something wise you learnt from your grandmother?', 'truth', 'friends', 'getting_to_know_you', 'mild', false, false),"
"('If someone wanted to gift you a course on Udemy, what would you want it to be?', 'truth', 'friends', 'getting_to_know_you', 'mild', false, false),"
"('What about your culture are you most proud of?', 'truth', 'friends', 'getting_to_know_you', 'mild', false, false),"
"('Did you ever feel called to take the UPSC exam?', 'truth', 'friends', 'getting_to_know_you', 'mild', true, false),"
"('Tell us about your favorite train route.', 'truth', 'friends', 'getting_to_know_you', 'mild', true, false),"
"('Share a moment you felt your workplace became family.', 'truth', 'friends', 'getting_to_know_you', 'mild', false, false),"
"('What''s a hometown tradition that you love?', 'truth', 'friends', 'getting_to_know_you', 'mild', true, false),"
"('Describe a time you nailed a small but meaningful win.', 'truth', 'friends', 'getting_to_know_you', 'mild', false, false),"
"('Dish on a childhood friend who shaped who you are.', 'truth', 'friends', 'getting_to_know_you', 'mild', false, false),"
"('What''s a value you’d stand up for no matter what?', 'truth', 'friends', 'getting_to_know_you', 'mild', false, false),"
"('Tell us about a festival that brought you closer to your roots.', 'truth', 'friends', 'getting_to_know_you', 'mild', true, false),"
"('Share a work habit you picked up that’s a game-changer.', 'truth', 'friends', 'getting_to_know_you', 'mild', false, false),"
"('What''s a place you’d love to show off to this group?', 'truth', 'friends', 'getting_to_know_you', 'mild', false, false),"
"('Describe a moment you felt truly at home.', 'truth', 'friends', 'getting_to_know_you', 'mild', false, false),"
"('What''s a DIY project you’d be interested in trying?', 'truth', 'friends', 'getting_to_know_you', 'mild', false, false),"
"('Tell us about a time you surprised yourself by speaking up.', 'truth', 'friends', 'getting_to_know_you', 'mild', false, false),"
"('Share a story from your neighborhood that’s pure gold.', 'truth', 'friends', 'getting_to_know_you', 'mild', false, false),"
"('What''s a regional dish you’d love to try and learn to cook?', 'truth', 'friends', 'getting_to_know_you', 'mild', true, false),"
"('Describe a time you laughed so hard with your family that you cried.', 'truth', 'friends', 'getting_to_know_you', 'mild', false, false),"
"('What''s a study/learning hack you''d love to share?', 'truth', 'friends', 'getting_to_know_you', 'mild', false, false),"
"('Tell us about a moment you felt your heritage spark joy.', 'truth', 'friends', 'getting_to_know_you', 'mild', false, false),"
"('Share a travel memory that changed how you see things.', 'truth', 'friends', 'getting_to_know_you', 'mild', false, false),"
"('What''s a family tradition you’d never give up?', 'truth', 'friends', 'getting_to_know_you', 'mild', false, false),"
"('Tell us about your favorite regional language singer.', 'truth', 'friends', 'getting_to_know_you', 'mild', true, false),"
"('What''s a skill/talent that you secretly wish you had?', 'truth', 'friends', 'getting_to_know_you', 'mild', false, false),"
"('Tell us about a time you felt like part of something bigger.', 'truth', 'friends', 'getting_to_know_you', 'mild', false, false),"
"('Share a moment your workplace taught you something deep.', 'truth', 'friends', 'getting_to_know_you', 'mild', false, false),"
"('What''s something spiritual that calms you?', 'truth', 'friends', 'getting_to_know_you', 'mild', false, false),"
"('What''s the wildest family rule you ever pushed back on?', 'truth', 'friends', 'getting_to_know_you', 'moderate', false, false),"
"('Spill the beans: what''s some quirky career advice you got that actually worked?', 'truth', 'friends', 'getting_to_know_you', 'moderate', false, false),"
"('Tell us about a time you stood up for your regional pride.', 'truth', 'friends', 'getting_to_know_you', 'moderate', true, false),"
"('What''s a passion you chased that shocked your friends?', 'truth', 'friends', 'getting_to_know_you', 'moderate', false, false),"
"('Describe a childhood choice that shaped who you are.', 'truth', 'friends', 'getting_to_know_you', 'moderate', false, false),"
"('Dish on a moment you laughed off a big mistake.', 'truth', 'friends', 'getting_to_know_you', 'moderate', false, false),"
"('What''s a time you went against the crowd and loved it?', 'truth', 'friends', 'getting_to_know_you', 'moderate', false, false),"
"('Name a festival tradition you’ve questioned but still followed.', 'truth', 'friends', 'getting_to_know_you', 'moderate', true, false),"
"('Tell us about a work risk you took that paid off.', 'truth', 'friends', 'getting_to_know_you', 'moderate', false, false),"
"('What''s a spot you visited that changed your vibe?', 'truth', 'friends', 'getting_to_know_you', 'moderate', false, false),"
"('Share a dish you cooked that flopped but taught you something.', 'truth', 'friends', 'getting_to_know_you', 'moderate', false, false),"
"('What''s a moment you felt misunderstood by a friend?', 'truth', 'friends', 'getting_to_know_you', 'moderate', false, false),"
"('Spill the tea: what''s a community norm you’ve challenged?', 'truth', 'friends', 'getting_to_know_you', 'moderate', false, false),"
"('Describe a song that got you through a tough day.', 'truth', 'friends', 'getting_to_know_you', 'moderate', false, false),"
"('What''s a habit you kicked that made you proud?', 'truth', 'friends', 'getting_to_know_you', 'moderate', false, false),"
"('Tell us about a teacher who inspired your career path.', 'truth', 'friends', 'getting_to_know_you', 'moderate', false, false),"
"('Share a time you helped a stranger and it backfired.', 'truth', 'friends', 'getting_to_know_you', 'moderate', false, false),"
"('What''s a regional food you fought to love?', 'truth', 'friends', 'getting_to_know_you', 'moderate', true, false),"
"('Dish on a hometown tale that shaped your outlook.', 'truth', 'friends', 'getting_to_know_you', 'moderate', true, false),"
"('What''s a dream you ditched but still think about?', 'truth', 'friends', 'getting_to_know_you', 'moderate', false, false),"
"('Describe a time you stood your ground with family.', 'truth', 'friends', 'getting_to_know_you', 'moderate', false, false),"
"('Tell us about a funny mix-up from juggling languages at work.', 'truth', 'friends', 'getting_to_know_you', 'moderate', true, false),"
"('What''s a family lesson you live by but question?', 'truth', 'friends', 'getting_to_know_you', 'moderate', false, false),"
"('Share a skill you learned under pressure at work.', 'truth', 'friends', 'getting_to_know_you', 'moderate', false, false),"
"('What''s a cultural tradition you’ve tweaked to fit your style?', 'truth', 'friends', 'getting_to_know_you', 'moderate', false, false),"
"('What''s a cultural ritual you’ve done your own way?', 'truth', 'friends', 'getting_to_know_you', 'moderate', false, false),"
"('Spill the beans: what''s the boldest choice you made at work?', 'truth', 'friends', 'getting_to_know_you', 'moderate', false, false),"
"('Tell us about a regional clash you found hilarious.', 'truth', 'friends', 'getting_to_know_you', 'moderate', true, false),"
"('What''s a passion project you ditched but learned from?', 'truth', 'friends', 'getting_to_know_you', 'moderate', false, false),"
"('Describe a childhood rebellion that still makes you laugh.', 'truth', 'friends', 'getting_to_know_you', 'moderate', false, false),"
"('Dish on a moment you stood up for a friend.', 'truth', 'friends', 'getting_to_know_you', 'moderate', false, false),"
"('What''s a time you went off-script and it paid off?', 'truth', 'friends', 'getting_to_know_you', 'moderate', false, false),"
"('Name a festival custom you’ve pushed back on.', 'truth', 'friends', 'getting_to_know_you', 'moderate', true, false),"
"('Tell us about a work challenge you turned into a win.', 'truth', 'friends', 'getting_to_know_you', 'moderate', false, false),"
"('What''s a trip that flipped your perspective?', 'truth', 'friends', 'getting_to_know_you', 'moderate', false, false),"
"('Share a cooking fail that became a funny memory.', 'truth', 'friends', 'getting_to_know_you', 'moderate', false, false),"
"('What''s a moment a friend totally missed your point?', 'truth', 'friends', 'getting_to_know_you', 'moderate', false, false),"
"('Spill the tea: what''s a neighborhood rule you’ve bent?', 'truth', 'friends', 'getting_to_know_you', 'moderate', false, false),"
"('Describe a tune that pulled you through a rough patch.', 'truth', 'friends', 'getting_to_know_you', 'moderate', false, false),"
"('What''s a habit you changed that felt like a big deal?', 'truth', 'friends', 'getting_to_know_you', 'moderate', false, false),"
"('Tell us about a UPSC prep story that tested your limits.', 'truth', 'friends', 'getting_to_know_you', 'moderate', true, false),"
"('Share a time you tried to help a stranger but it flopped.', 'truth', 'friends', 'getting_to_know_you', 'moderate', false, false),"
"('What''s a regional dish you struggled to get right?', 'truth', 'friends', 'getting_to_know_you', 'moderate', true, false),"
"('Dish on a town story that changed how you think.', 'truth', 'friends', 'getting_to_know_you', 'moderate', false, false),"
"('What''s a goal you let go but still wonder about?', 'truth', 'friends', 'getting_to_know_you', 'moderate', false, false),"
"('Describe a time you had to stand firm with your family.', 'truth', 'friends', 'getting_to_know_you', 'moderate', false, false),"
"('Tell us about a language mix-up at work that cracked you up.', 'truth', 'friends', 'getting_to_know_you', 'moderate', true, false),"
"('What''s a family value you’ve questioned but stuck to?', 'truth', 'friends', 'getting_to_know_you', 'moderate', false, false),"
"('Share a work skill you picked up under stress.', 'truth', 'friends', 'getting_to_know_you', 'moderate', false, false),"
"('Spill the beans: what''s a cultural expectation you’ve sidestepped with a laugh?', 'truth', 'friends', 'getting_to_know_you', 'moderate', false, false),"
"('Spill the chai: when did you ditch your family’s dating rules?', 'truth', 'friends', 'getting_to_know_you', 'bold', true, false),"
"('What''s the boldest work move you’ve pulled off?', 'truth', 'friends', 'getting_to_know_you', 'bold', false, false),"
"('Tell us about a regional bias you’ve called out.', 'truth', 'friends', 'getting_to_know_you', 'bold', true, false),"
"('What''s a passion project you chased that flipped your life?', 'truth', 'friends', 'getting_to_know_you', 'bold', false, false),"
"('Describe a childhood stunt that got you in big trouble.', 'truth', 'friends', 'getting_to_know_you', 'bold', false, false),"
"('Dish on a moment you stood up to a friend’s bad call.', 'truth', 'friends', 'getting_to_know_you', 'bold', false, false),"
"('What''s a time you broke all the rules and owned it?', 'truth', 'friends', 'getting_to_know_you', 'bold', false, false),"
"('Name a festival ritual you’ve totally skipped out on.', 'truth', 'friends', 'getting_to_know_you', 'bold', true, false),"
"('Tell us about a work clash you didn’t back down from.', 'truth', 'friends', 'getting_to_know_you', 'bold', false, false),"
"('What''s a trip that pushed you way out of your zone?', 'truth', 'friends', 'getting_to_know_you', 'bold', false, false),"
"('Share a cooking flop that turned into a total disaster.', 'truth', 'friends', 'getting_to_know_you', 'bold', false, false),"
"('What''s a moment a friend let you down hard?', 'truth', 'friends', 'getting_to_know_you', 'bold', false, false),"
"('Spill the tea: what''s a community taboo you’ve defied?', 'truth', 'friends', 'getting_to_know_you', 'bold', false, false),"
"('Describe a song that got you through a heartbreak.', 'truth', 'friends', 'getting_to_know_you', 'bold', false, false),"
"('What''s a habit you fought hard to break?', 'truth', 'friends', 'getting_to_know_you', 'bold', false, false),"
"('Tell us about a tough moment while prepping for an entrance exam that really tested you.', 'truth', 'friends', 'getting_to_know_you', 'bold', true, false),"
"('Share a time you tried to help a stranger and it went south.', 'truth', 'friends', 'getting_to_know_you', 'bold', false, false),"
"('What''s a regional dish you botched and got roasted for?', 'truth', 'friends', 'getting_to_know_you', 'bold', true, false),"
"('Dish on a town drama that shook you up.', 'truth', 'friends', 'getting_to_know_you', 'bold', false, false),"
"('What''s a dream you chased that left you burned?', 'truth', 'friends', 'getting_to_know_you', 'bold', false, false),"
"('Describe a time you had to draw a line with your family.', 'truth', 'friends', 'getting_to_know_you', 'bold', false, false),"
"('Tell us about a language slip-up at work that got awkward.', 'truth', 'friends', 'getting_to_know_you', 'bold', true, false),"
"('What''s a family expectation you’ve flat-out ignored?', 'truth', 'friends', 'getting_to_know_you', 'bold', false, false),"
"('Share a work skill you learned the hard way.', 'truth', 'friends', 'getting_to_know_you', 'bold', false, false),"
"('What''s a cultural pressure you’ve laughed off?', 'truth', 'friends', 'getting_to_know_you', 'bold', false, false),"
"('Spill the chai: when did you choose a partner your family didn’t approve of?', 'truth', 'friends', 'getting_to_know_you', 'bold', true, false),"
"('What''s the gutsiest career leap you’ve ever taken?', 'truth', 'friends', 'getting_to_know_you', 'bold', false, false),"
"('Tell us about a regional stereotype you’ve had to fight off.', 'truth', 'friends', 'getting_to_know_you', 'bold', true, false),"
"('What''s a passion project you chased that totally backfired?', 'truth', 'friends', 'getting_to_know_you', 'bold', false, false),"
"('Describe a childhood dare that landed you in hot water.', 'truth', 'friends', 'getting_to_know_you', 'bold', false, false),"
"('Dish on a time you called out a friend’s shady move.', 'truth', 'friends', 'getting_to_know_you', 'bold', false, false),"
"('What''s a time you threw out the rulebook and felt alive?', 'truth', 'friends', 'getting_to_know_you', 'bold', false, false),"
"('Name a festival custom you’ve straight-up ditched.', 'truth', 'friends', 'getting_to_know_you', 'bold', true, false),"
"('Tell us about a work fight you didn’t shy away from.', 'truth', 'friends', 'getting_to_know_you', 'bold', false, false),"
"('What''s a journey that shook up your whole outlook?', 'truth', 'friends', 'getting_to_know_you', 'bold', false, false),"
"('Share a kitchen disaster that left you in stitches.', 'truth', 'friends', 'getting_to_know_you', 'bold', false, false),"
"('What''s a moment a friend totally broke your trust?', 'truth', 'friends', 'getting_to_know_you', 'bold', false, false),"
"('Spill the tea: what''s a local taboo you’ve broken?', 'truth', 'friends', 'getting_to_know_you', 'bold', false, false),"
